Full Country Name,State/Province Code,Parent Chain Name,City,Property Name,Property Address
Austria, ,TravelClick,Vienna,Hotel Imlauer Wien,Rotensterngasse 10
Austria, ,Travelclick Independent,Vienna,Hotel Nestroy Wien,Rotensterngasse 12
Austria, ,Accor Hotels,Vienna,Adagio Wien Zentrum,Uraniastrasse 2
Austria, ,Accor Hotels,Vienna,Mercure Wien City,Hollandstrasse 3
Austria, ,Derag Hotels,Vienna,Derag Livinghotel Kaiser Franz Joseph,Sieveringerstrasse 4
Azerbaijan, ,Fairmont,Baku,"Fairmont Baku, Flame Towers","1A, Mehdi Huseyn"
Bahamas, ,Hilton Hotels,Nassau,British Colonial Hilton Nassau Hotel,One Bay St
Bahrain, ,InterContinental Hotels Group,Manama,Intercontinental Regency,King Faisal Rd
Bahrain, ,Movenpick Hotels and Resorts,Muharraq Town,Moevenpick Hotel Bahrain,143 Rd 2403
Bangladesh, ,Pan Pacific,Dhaka,Pan Pacific Sonargaon Dhaka,107 Kazi Nazrul Islam Ave
Barbados, ,Hilton Hotels,Bridgetown,Hilton Barbados,Needham'S Point Saint Michael
Belgium, ,InterContinental Hotels Group,Antwerp,Crowne Plaza Antwerp,Gerard Le Grellelaan 10
Belgium, ,Wyndham Hotel Group,Antwerp,Ramada Plaza Antwerp,Desguinlei 94
Belgium, ,Wyndham Hotel Group,Antwerp,Tryp by Wyndham Antwerp,Plantin en Moretuslei 136
Belgium, ,InterContinental Hotels Group,Brussels,Holiday Inn Brussels Airport,Holidaystraat 7
Belgium, ,Accor Hotels,Brussels,Pullman Brussels Centre Gare Du Midi,Place Victor Horta 1
Belgium, ,Accor Hotels,Brussels,Novotel Brussels Centre Tour Noire,Rue De La Vierge Noire 32
Belgium, ,Accor Hotels,Brussels,Mercure Brussels Airport,74 Ave Jules Bordet
Belgium, ,InterContinental Hotels Group,Brussels,Crowne Plaza Brussels,Rue Gineste 3
Belgium, ,Hilton Hotels,Brussels,Hilton Brussels City,Pl Rogier 20
Belgium, ,TravelClick,Brussels,Hotel Bloom,"Rue Royale, 250"
Belgium, ,Marriott International,Brussels,Marriott Executive Apartments Brussels European Qtr,Rue Du Parnasse 15
Belgium, ,Starwood,Brussels,Sheraton Brussels Hotel,Pl Rogier 3
Belgium, ,Great Hotels of the World,Brussels,Thon Hotel Brussels Airport,Berkenlaan 4
Belgium, ,Penta Hotels,Brussels,Pentahotel Brussels City Centre,Chaussee De Charleroi 38
Belgium, ,NH Hotel Group,Brussels,NH Brussels City Centre,17 Chaussee de Charleroi
Belgium, ,Accor Hotels,Brussels,Hotel ibis Styles Brussels Centre Stephanie,Chaussee De Charleroi 66
Belgium, ,Accor Hotels,Brussels,Adagio Brussels Centre Monnaie,Blvd. Anspach 20
Belgium, ,NH Hotel Group,Diegem,NH Brussels Airport,De Kleetlaan 14
Belgium, ,Accor Hotels,Diegem,Novotel Brussels Airport,Da Vinci Laan 25
Belgium, ,NH Hotel Group,Gent,NH Gent Belfort,Hoogpoort 63
Belgium, ,NH Hotel Group,Ghent,NH Gent Sint Pieters,Koning Albertlaan 121
Benin, ,Accor Hotels,Cotonou,Novotel Cotonou Orisha,Blvd De La Marina
Bermuda, ,Fairmont,Hamilton,Fairmont Hamilton Princess,76 Pitts Bay Rd
Botswana, ,Sun International,Gaborone,Gaborone Sun Hotel,Chuma Dr
Brazil, ,Accor Hotels,Aracaju,Mercure Aracaju Del Mar,Avenida Santos Dumont 1500
Brazil, ,Accor Hotels,Belo Horizonte,Caesar Business Belo Horizonte Belvedere,Avenida Luis Paulo Franco 421
Brazil, ,Accor Hotels,Belo Horizonte,Mercure Belo Horizonte Vila Da Serra,Alameda Da Serra 405
Brazil, ,Accor Hotels,Belo Horizonte,Adagio Belo Horizonte Minascentro,Rua Guajajaras 885 Centro
Brazil, ,Choice Hotels International,Belo Horizonte,Quality Hotel Afonso Pena,"Avenida Afonso Pena, 3761"
Brazil, ,Accor Hotels,Belo Horizonte,Mercure Belo Horizonte Lifecenter,Rue Cicero Ferreira 10
Brazil, ,Accor Hotels,Belo Horizonte,Mercure Belo Horizonte Lourdes,Avenida Do Contorno 7315
Brazil, ,Preferred Hotel Group,Belo Horizonte,Ouro Minas Palace Hotel,"Avenida Cristiano Machado, 4001"
Brazil, ,InterContinental Hotels Group,Belo Horizonte - Mg,Holiday Inn Belo Horizonte Savassi,"Rua Prof. Morais, 600"
Brazil, ,Accor Hotels,Brasilia,Mercure Brasilia Lider,Shn Qd 5 Bloco I
Brazil, ,Accor Hotels,Brasilia,Mercure Brasilia Eixo,Setor Hoteleiro Norte Quadra 5
Brazil, ,Choice Hotels International,Brasilia,Comfort Suites Brasilia,Shn Quadra 04 Bloco D
Brazil, ,Independents,Brasilia,Athos Bulcao Hotel,Setor Hoteleiro Norte SHN
Brazil, ,Choice Hotels International,Brasilia,Quality Hotel & Suites Brasilia,SMAS - Multiple Activities Sector South
Brazil, ,Pegasus Connect (Utell),Brasilia,Metropolitan Flat,Shn - Quadra 02 - Bloco H
Brazil, ,Louvre Hotels,Brasilia,Royal Tulip Brasilia Alvorada,"Shtn, Trecho 1, Conj. 1b, Bloco C"
Brazil, ,Preferred Hotel Group,Campinas,Royal Palm Tower,Rua Boaventura Do Amaral 1274
Brazil, ,Choice Hotels International,Campinas,Comfort Suites Campinas,"Rua Embirucu, 300"
Brazil, ,Accor Hotels,Campinas,Mercure Campinas,Avenida Aquidaban 400
Brazil, ,Choice Hotels International,Campinas,Sleep Inn Galleria,Avenida Dr Carlos Grimaldi 1653
Brazil, ,Synxis Corporation,Curitiba,Pestana Curitiba,Rua Comendador Araujo 499
Brazil, ,Choice Hotels International,Curitiba,Quality Hotel Curitiba,Alameda Dom Pedro Ii 740
Brazil, ,Accor Hotels,Curitiba,Mercure Curitiba Golden,Rua Desembargador Motta 2044
Brazil, ,Accor Hotels,Florianopolis,Mercure Florianopolis Centro,Rua Felipe Schmidt 1102 - Centro
Brazil, ,Accor Hotels,Fortaleza,Mercure Fortaleza Meireles,Rua Joaquim Nabuco 166
Brazil, ,InterContinental Hotels Group,Fortaleza,Holiday Inn Fortaleza,Hist. Raimundo Girao Ave 800
Brazil, ,Choice Hotels International,Fortaleza,Comfort Hotel Fortaleza,"Rua Frei Mansueto, 160"
Brazil, ,Accor Hotels,Goiania,Mercure Goiania Hotel,Av Republica Do Libano 1613
Brazil, ,Independents,Hortolandia,Druds Hotel Hortolandia Sao Paulo,Ave Fermino Maltarollo 275
Brazil, ,Accor Hotels,Joinville,Ibis Styles Joinville,"Rua Frederico Stoll, 47"
Brazil, ,Accor Hotels,Joinville,Ibis Joinville,Rua Nove De Marco 806-Centro
Brazil, ,Accor Hotels,Manaus,Novotel Manaus,Avenida Mandii 4
Brazil, ,Accor Hotels,Manaus,Caesar Business Manaus Amazonas,Avenida Darcy Vargas 654
Brazil, ,Accor Hotels,Manaus,Mercure Manaus,"Rua Recife, 1000 -  Adrianopolis"
Brazil, ,Accor Hotels,Porto Alegre,Novotel Porto Alegre,Avenida Soledade 575 -Tres Figueira
Brazil, ,Accor Hotels,Porto Alegre,Mercure Porto Alegre Manhattan,Rua Miguel Tostes 34
Brazil, ,Accor Hotels,Porto Alegre,Novotel Porto Alegre Airport,Avenida Severo Dullius 2055
Brazil, ,Synxis Independent,Porto Alegre,Everest PortoAlegre,Rua Duque de Caxias 1357
Brazil, ,Accor Hotels,Recife,Mercure Recife Navegantes,Rua Dos Navegantes 1706
Brazil, ,World Hotels,Rio De Janeiro,Rio Othon Palace,"Avenida Atlantica, 3264 - Copacabana"
Brazil, ,Accor Hotels,Rio De Janeiro,Sofitel Rio De Janeiro Copacabana,Avenida Atlantica 4240
Brazil, ,Accor Hotels,Rio De Janeiro,Novotel Rio De Janeiro Santos Dumont,Rua Marechal Camara 300
Brazil, ,Accor Hotels,Rio De Janeiro,Mercure Rio De Janeiro Arpoador,Rua Francisco Otaviano 61
Brazil, ,Accor Hotels,Rio De Janeiro,Adagio Rio de Janeiro Ipanema,"Avenida Rainha Elizabeth, 440"
Brazil, ,Synxis Corporation,Rio De Janeiro,Pestana Rio Atlantica Hotel,"Avenida Atlantica, 2964"
Brazil, ,Accor Hotels,Rio De Janeiro,Mercure Botafogo Mourisco,Rua De Passagem 39
Brazil, ,Accor Hotels,Rio De Janeiro,Mercure Rio De Janeiro Botafogo,Rua Sorocaba 305
Brazil, ,Starwood,Rio De Janeiro,Sheraton Rio Hotel & Resort,Avenida Niemeyer 121
Brazil, ,Belmond,Rio De Janeiro,Belmond Copacabana Palace,Ave Atlantica 1702
Brazil, ,Preferred Hotel Group,Rio De Janeiro,Windsor Atlantica Hotel,Avenida Atlantica 1020
Brazil, ,Pegasus Connect (Utell),Rio De Janeiro,Windsor Plaza Copacabana Hotel,Ave Princesa Isabel 263
Brazil, ,Accor Hotels,Salvador,Mercure Salvador Pituba,Av Professor Magalhaes Neto S/N
Brazil, ,World Hotels,Salvador,Bahia Othon Palace Hotel,"Avenida Oceanica, 2294 - Ondina - Salvador"
Brazil, ,Accor Hotels,Sao Jose Dos Campos,Mercure Sao Jose Dos Campos,Avenida Dr Jorge Zarur 81 Torre Ii
Brazil, ,Accor Hotels,Sao Paulo,Pullman Sao Paulo Vila Olimpia,Rua das Olimpiadas 205
Brazil, ,Starwood,Sao Paulo,Sheraton Sao Paulo Wtc Hotel,Nacoes Unidas Ave 12559
Brazil, ,InterContinental Hotels Group,Sao Paulo,Staybridge Suites Sao Paulo,"Rua Bandeira Paulista, 555"
Brazil, ,Accor Hotels,Sao Paulo,Caesar Business Sao Paulo Faria Lima,Rua das Olimpiadas 205
Brazil, ,Accor Hotels,Sao Paulo,Pullman Sao Paulo Ibirapuera,Rua Joinville 515
Brazil, ,Accor Hotels,Sao Paulo,Mercure Grand Hotel Parque do Ibirapuera,Rua Sena Madureira 1355 Bloco 1
Brazil, ,Wyndham Hotel Group,Sao Paulo,Tryp Berrini,"Rua Quintana, 934"
Brazil, ,Accor Hotels,Sao Paulo,Novotel Morumbi,R Ministro Nelson Hungria 450
